year,cpiu,cpiux1,rcpiurs,ccpiu,seriesCensusRec
1947,22.331667,,,,22.331667
1948,24.045,,,,24.045
1949,23.809166,,,,23.809166
1950,24.0625,,,,24.0625
1951,25.973333,,,,25.973333
1952,26.566666,,,,26.566666
1953,26.768333,,,,26.768333
1954,26.865,,,,26.865
1955,26.795834,,,,26.795834
1956,27.190834,,,,27.190834
1957,28.113333,,,,28.113333
1958,28.880833,,,,28.880833
1959,29.15,,,,29.15
1960,29.585001,,,,29.585001
1961,29.901667,,,,29.901667
1962,30.253334,,,,30.253334
1963,30.633333,,,,30.633333
1964,31.038334,,,,31.038334
1965,31.528334,,,,31.528334
1966,32.470833,54.4,,,32.470833
1967,33.375,56.1,,,33.485546
1968,34.791668,58.3,,,34.798706
1969,36.683334,60.9,,,36.35062
1970,38.841667,63.9,,,38.141293
1971,40.483334,66.7,,,39.812584
1972,41.808334,68.7,,,41.006363
1973,44.424999,73,,,43.57299
1974,49.316666,80.3,,,47.93029
1975,53.825001,86.90000000000001,,,51.869766
1976,56.933334,91.90000000000001,,,54.854218
1977,60.616665,97.7,100,,58.316181
1978,65.241669,,104.3833333333333,,60.872375
1979,72.583336,,114.3416666666667,,66.679695
1980,82.383331,,127.0583333333334,,74.095573
1981,90.933334,,139.1416666666667,,81.142113
1982,96.533333,,147.5416666666667,,86.040672
1983,99.583336,,153.8083333333333,,89.695152
1984,103.93333,,160.1583333333333,,93.398232
1985,107.6,,165.575,,96.557022
1986,109.69167,,168.4333333333333,,98.223892
1987,113.61667,,174.125,,101.54305
1988,118.275,,180.4833333333333,,105.25099
1989,123.94167,,188.2916666666667,,109.80451
1990,130.65833,,197.6333333333333,,115.25221
1991,136.16667,,204.7583333333334,,119.40724
1992,140.30833,,209.9333333333333,,122.4251
1993,144.47501,,215.1583333333333,,125.47212
1994,148.22501,,219.6666666666667,,128.10121
1995,152.38333,,224.9666666666667,,131.19197
1996,156.85834,,231,,134.71037
1997,160.52499,,235.9916666666667,,137.62132
1998,163.00833,,239.2,,139.49229
1999,166.58333,,244.2416666666667,100,142.4324
2000,172.19167,,252.5333333333334,101.99167,145.26918
2001,177.04167,,259.6833333333333,104.29166,148.54512
2002,179.86667,,263.8,105.60833,150.42047
2003,184,,269.8,107.75833,153.48277
2004,188.90833,,277.05,110.45833,157.32845
2005,195.26666,,286.4,113.69167,161.93376
2006,201.55833,,295.6666666666667,116.99167,166.63403
2007,207.34416,,304.1083333333333,119.95675,170.85727
2008,215.25424,,315.775,124.43317,177.23314
2009,214.56467,,314.675,123.85025,176.40288
2010,218.07617,,319.8333333333334,125.6145,178.91574
2011,224.923,,329.9666666666667,129.453,184.38301
2012,229.58607,,336.9166666666667,131.97575,187.97623
2013,232.95175,,341.9833333333333,133.59158,190.27769
2014,236.715,,347.6916666666667,135.52408,193.0302
2015,237.00175,,348.2916666666666,135.36234,192.79982
2016,240.00542,,352.7583333333333,136.62509,194.59839
2017,245.121,,360.2666666666667,139.03575,198.03195
2018,251.0995,,369.1083333333333,141.84192,202.02884
2019,255.65166,,375.8166666666667,143.90367,204.96544
2020,258.85059,,380.75,145.44934,207.16698
2021,270.97141,,399.1666666666667,151.94958,216.42543
2022,292.61249,,431.475,163.86275,233.39363
2023,302.34085,,,169.67101,241.66647
